0.000010,,,
0.000013,,,
0.000017,-11.090347,,
0.000021,-11.090347,,
0.000028,-11.090347,,
0.000035,-10.397202,,
0.000046,-10.397202,,
0.000059,-9.991730,,
0.000076,-9.704056,,
0.000098,-9.298584,,
0.000126,-9.010910,,
0.000162,-8.787766,,
0.000209,-8.525375,,
0.000269,-8.257141,,
0.000347,-7.999313,,
0.000447,-7.723038,,
0.000575,-7.479431,,
0.000741,-7.219147,,
0.000955,-6.963226,,
0.001230,-6.708328,,
0.001585,-6.455627,,
0.002042,-6.199982,,
0.002630,-5.942841,,
0.003388,-5.687653,,
0.004365,-5.434341,,
0.005623,-5.182251,,
0.007244,-4.929123,,
0.009333,-4.675247,-4.812500,
0.012023,-4.422119,-4.812500,
0.015488,-4.167694,-4.812500,
0.019953,-3.914856,-4.117188,
0.025704,-3.661407,-3.718750,
0.033113,-3.407852,-3.429688,
0.042658,-3.154755,-3.210938,
0.054954,-2.901367,-2.882813,
0.070795,-2.648071,-2.609375,
0.091201,-2.394836,-2.421875,
0.117490,-2.141495,-2.117188,
0.151356,-1.888138,-1.867188,
0.194984,-1.634857,-1.648438,
0.251189,-1.381592,-1.351563,
0.323594,-1.128250,-1.109375,
0.416869,-0.875000,-0.859375,
0.537032,-0.621704,-0.609375,
0.691831,-0.368408,-0.351563,
0.891251,-0.115128,-0.085938,
1.148154,0.138138,0.171875,
1.479108,0.391449,0.429688,
1.905461,0.644730,0.679688,
2.454709,0.898026,0.937500,
3.162278,1.151306,1.171875,
4.073803,1.404587,1.445313,
5.248075,1.657852,1.687500,
6.760830,1.911148,1.945313,
8.709636,2.164429,2.195313,
11.220185,2.417740,2.437500,
14.454398,2.671005,2.695313,
18.620871,2.924286,2.953125,
23.988329,3.177582,3.203125,
30.902954,3.430862,3.453125,
39.810717,3.684128,3.703125,
51.286138,3.937424,3.960938,
66.069345,4.190689,4.218750,
85.113804,4.443985,4.460938,
109.647820,4.697281,4.718750,
141.253754,4.950577,4.968750,
181.970086,5.203857,5.210938,
234.422882,5.457153,5.476563,
301.995172,5.710419,5.742188,
389.045145,5.963715,6.007813,
501.187234,6.217010,6.250000,
645.654229,6.470261,6.507813,
831.763771,6.723587,6.757813,
1071.519305,6.976837,7.015625,
1380.384265,7.230148,7.273438,
1778.279410,7.483414,7.507813,
2290.867653,7.736694,7.773438,
2951.209227,7.989990,8.023438,
3801.893963,8.243286,8.265625,
4897.788194,8.496536,8.539063,
6309.573445,8.749847,8.781250,
8128.305162,9.003113,9.023438,
10471.285481,9.256393,9.281250,
13489.628826,9.509689,9.531250,
17378.008287,9.762970,9.789063,
22387.211386,10.016235,10.039063,
28840.315031,10.269531,10.281250,
37153.522910,,10.546875,
47863.009232,,10.804688,
61659.500186,,11.039063,
79432.823472,,11.320313,
102329.299228,,11.562500,
131825.673856,,11.828125,
169824.365246,,12.070313,
218776.162395,,12.312500,
281838.293126,,12.585938,
363078.054770,,12.828125,
467735.141287,,13.093750,
602559.586074,,13.335938,
776247.116629,,13.585938,
